skill,count
Communication,85424
Teamwork,54183
Leadership,41717
Project Management,32166
Customer service,30179
Troubleshooting,29072
Problem Solving,27717
Communication skills,27312
Customer Service,23725
Collaboration,22904
Problemsolving,22784
Communication Skills,22434
Python,22016
Training,18966
SQL,18322
Attention to detail,17316
Data Analysis,16757
Microsoft Office Suite,16154
Project management,15512
Attention to Detail,15022
Microsoft Office,14706
Time Management,14656
Engineering,14113
Documentation,13595
Time management,13578
Bachelor's Degree,12592
Java,12482
Adaptability,12462
Excel,12221
Sales,12115
Travel,12108
Scheduling,11752
AWS,11735
Interpersonal skills,11681
AutoCAD,11678
Patient Care,11217
Multitasking,11139
Safety,11107
Interpersonal Skills,11073
Flexibility,11037
Data analysis,10820
Analytical Skills,10794
Electrical Engineering,10736
Budgeting,10716
Problem solving,10679
Reporting,10659
ProblemSolving,10460
Maintenance,10133
Analytical skills,10083
Mentoring,10035
Agile,9312
Mechanical Engineering,9275
Nursing,9098
Planning,8534
Quality Assurance,8464
Accounting,8448
Organization,8435
Computer Science,8404
Inventory management,8312
Patient care,8264
Problemsolving skills,8226
Organizational skills,7982
Civil Engineering,7974
Coaching,7930
Merchandising,7817
Radiology,7815
Bachelor's degree,7575
JavaScript,7345
Design,7285
Testing,7228
Supervision,7216
Organizational Skills,7174
Management,7149
Research,7091
Risk Management,7073
High School Diploma,7072
Linux,7029
Critical Thinking,6917
Inventory Management,6768
Quality Control,6624
Automation,6602
Prioritization,6578
Allied Health Professional,6544
Azure,6535
Microsoft Excel,6453
Manufacturing,6427
Kubernetes,6423
Networking,6406
Compliance,6276
Software Development,6264
Finance,6157
Lifting,6156
Written Communication,6123
Security,6085
Healthcare,6013
Docker,5971
Critical thinking,5969
C++,5852
DevOps,5778
Software Engineering,5650
